Game;Players;Time;Complexity;Played;Mode;Picture;Genre;Favoritos
51st State: Master Set;2,3;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/e4-pi7E_tnCIlWSRqyAo1XtSsP4=/fit-in/900x600/filters:no_upscale()/pic2945432.jpg;;
7 Wonders;4,5,6,7;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/iCiVQ8UnKtO4wt9wBYS51_DXTFo=/fit-in/900x600/filters:no_upscale()/pic860217.jpg;;
7 Wonders Duel;2;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/K29SesN_KgIUDX0O5y71nGX_GsQ=/fit-in/900x600/filters:no_upscale()/pic3376065.jpg;;
Abyss;3,4;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/TDT9naTjCw2_-vGEyX1N0hot_j8=/fit-in/900x600/filters:no_upscale()/pic1965255.jpg;;
Adrenaline;4,5;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/xFPDawk_ppEFU662aEFHSqVMNes=/fit-in/900x600/filters:no_upscale()/pic3476604.jpg;;
Aeon's End;2,3;Average;;Yes;Cooperative;https://cf.geekdo-images.com/imagepage/img/8pfOS-9WSngCeImM-13VhN6a4ns=/fit-in/900x600/filters:no_upscale()/pic3189350.jpg;;
Agricola;2,3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/lz9lR3hs-27immcniEQ4fsYJ7EM=/fit-in/900x600/filters:no_upscale()/pic259085.jpg;;
Agricola: Family Edition;2,3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/YmoVsNfy9Zh3HPtPSTBu3eBlHRI=/fit-in/900x600/filters:no_upscale()/pic3136438.jpg;;Vivi
Airlines Europe;3,4,5;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/jSNkYnsEW5BkKJ0weg6-jmx0uIM=/fit-in/900x600/filters:no_upscale()/pic975416.jpg;;
Alchemists;2,3,4;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/6cA350FIgiK6iCz6QfpzqfIPz-0=/fit-in/900x600/filters:no_upscale()/pic2241156.png;;Vivi
Alhambra;3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/6Cjb5yhek6Kat-EiBRK0owOKZLg=/fit-in/900x600/filters:no_upscale()/pic1502118.jpg;;Vivi
Alien Artifacts;2,3;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/XnQvZ5AGmTaQ_WpB9Ux-YbjClDU=/fit-in/900x600/filters:no_upscale()/pic3671706.jpg;;
Amerigo;2,3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/WPJ_ZdjLv0s5Tf05XbfUAyN0gXg=/fit-in/900x600/filters:no_upscale()/pic1824151.jpg;;
